comment,category,tag,keywords
サービスカウンターのスタッフさんの対応が素晴らしい。,サービス・設備,接客態度,"['サービスカウンター', 'スタッフ', '対応', '素晴らしい']"
忙しそうでしたがテキパキしてました、。,サービス・設備,接客態度,"['忙しい', 'テキパキ']"
店員さんの対応がよかった。,サービス・設備,接客態度,[]
駐車場で高齢者の母をのせていたら、掃除の方がとおりかかって、空いたカゴを持っていってくださいました すごく助かりました。,サービス・設備,駐車場,"['高齢者', '母', '掃除', 'カゴ']"
優しく対応して頂きました！子供がいたので。,サービス・設備,接客態度,"['優しく', '対応', '子供']"
ルートビアがあれば毎日買います。,商品,デイリー,"['ルートビア', '毎日', '買います']"
PBのペットシートの値上げ巾が大き過ぎ 他店の方が安くなってます 見直ししてもらえないですか？。,商品,ペット＆ガーデン,"['PB', 'ペットシート', '値上げ', '他店', '安い']"
開店直後か、21:00過ぎでもないとレジで相当並ぶ レジ自体は10台以上あるよう 開放してるのは半分強 安いがゆえにみんな大量買い 近くのスーパー、セルフレジ6台、有人レジ2台 客数、購入量からしたらもっとレジ開放したほうがいいと思う 。,サービス・設備,レジ処理の速度,"['開店直後', '21:00過ぎ', 'レジ', '相当並ぶ', '10台以上', '半分強', '安い', '大量買い', '近くのスーパー', 'セルフレジ6台', '有人レジ2台', '客数', '購入量', 'レジ開放']"
コカコーラの本数を増やして欲しい 。,商品,デイリー,"['コカコーラ', '本数', '増やす']"
コード決済ができるようにして欲しい(楽天ペイ、PayPayなど…)。,サービス・設備,商品在庫,"['コード決済', '楽天ペイ', 'PayPay']"
日用品、食品のクーポンを増やして欲しい 。,商品,割引サービス,"['クーポン', '増やす']"
酒類を安くして下さい。,商品,リカー＆ワイン,['安く']
初めて三方原店に行ってみました食品売り場の商品が少なかったので残念でした 。,商品,商品在庫,"['三方原店', '食品売り場', '商品', '少なかった', '残念']"
レジが2人体制だったので、とてもスムーズに終わりました 。,サービス・設備,レジ処理の速度,"['レジ', '2人体制', 'スムーズ']"
最近、レジの方の対応がとても良く感じます 。,サービス・設備,接客態度,"['レジ', '対応', '良い']"
従業員のSさんの笑顔応対等が良かった 気配りもできていました 質問にも、いつも答えていただき、ありがとうございます 。,サービス・設備,接客態度,"['従業員', 'Sさん', '笑顔応対', '気配り', '質問']"
カードを出すのを忘れてしまったのですが、感じ良くすぐに対応してくださり、ありがとうございました。,サービス・設備,接客態度,"['カード', '忘れ', '感じ良い', '対応']"
また広告の品の豚肉がなかった納豆もないしモッツァレラチーズもなかった最近のドンキはどうなってるんですか他の安い店に変えたほうがいいのかしらと思う。,商品,商品在庫,"['広告', '豚肉', '納豆', 'モッツァレラチーズ', 'ドンキ', '安い店']"
レジ担当の方の対応が良かったです カートを使っていると狭くて通れない場所があるので、もう少し改善して頂けると助かります 。,サービス・設備,レジ処理の速度,"['レジ担当', '対応', 'カート', '狭い', '改善']"
久しぶりの八丁堀店でしたが楽しかったです。,サービス・設備,店内レイアウト,"['八丁堀店', '楽しかった']"
品揃えが良い。,商品,商品陳列,['品揃え']
ドン・キはあまりにも同じミスが頻繁に起きすぎる!売り場での価格がレジに反映されていない事が20回位もあった こんな頻度は他の店では考えられない！。,サービス・設備,レジ処理の速度,"['ドン・キ', '同じミス', '頻繁', '価格', 'レジ', '反映']"
いつもレジにお客さんが並んでる 時間帯を考慮してレジを開放して欲しい またアイスクリームが解けてることが多い 隣のレジでしたが、4つも交換してました 扉付きの冷凍庫に変えては？。,サービス・設備,レジ処理の速度,"['レジ', 'お客さん', '時間帯', '開放', 'アイスクリーム', '解けてる', '冷凍庫']"
全体的に物価が高すぎる 韓国シャンプー安くして欲しい。,商品,ヘルスケア,"['物価', '高すぎる', '韓国シャンプー']"
会計時にSSさんがLINEのお友達登録を勧めて下さりスマホの登録の方法も丁寧に教えてくれました ありがとうございました 。,サービス・設備,接客態度,"['会計時', 'SSさん', 'LINEのお友達登録', 'スマホの登録', '丁寧に教えてくれました']"
天然水のお水が地下なので、1階にも置いてほしいですね お水が1階にないのは不思議です 。,サービス・設備,商品在庫,"['天然水', 'お水', '地下', '1階']"
栃尾の油揚げ置いて欲しいタレなし納豆も置いて欲しい。,商品,デイリーグッズ,"['油揚げ', 'タレなし納豆']"
エレベーター内の音楽のボリュームをもう少し下げてほしい。,サービス・設備,音響設備,"['エレベーター', '音楽', 'ボリューム', '下げる']"
レジの人はいつも親切です。,サービス・設備,接客態度,"['レジ', '人', '親切']"
今日のレジの店員さん感じ良かったですょ。,サービス・設備,接客態度,"['レジ', '店員さん', '感じ', '良かった']"
ソーセージやベーコンとかのクーポンを増やしてほしいです 。,商品,割引サービス,"['ソーセージ', 'ベーコン', 'クーポン']"
Eさんって方めっちゃ遅かった… 二つレジ空いてて私よりも後ろの人の方が会計終わるの早かった 生活用品、一つづつこれはこれは丁寧にちっちゃい袋に入れてくださりめちゃくちゃイライラしました 前も当たって最悪でした 。,サービス・設備,レジ処理の速度,"['Eさん', '遅い', 'レジ', '空いてる', '会計', '終わる', '生活用品', '袋', 'イライラ', '前', '当たる', '最悪']"
レジが混んでいると、数を増やしてくれるので助かります。,サービス・設備,レジ処理の速度,"['混んでいる', '数を増やしてくれる']"
すぐに聞ける店員さんが少ない気がします 。,サービス・設備,接客態度,"['聞ける', '店員さん', '少ない']"
今のまま品数豊富でお願いします。,商品,商品在庫,"['品数', '豊富']"
サービスカウンターの女性の方がよかった。,サービス・設備,接客態度,"['サービスカウンター', '女性']"
みなさん対応は良い。,サービス・設備,接客態度,[]
きき湯を安くしてほしい。,サービス・設備,ホームグッズ,"['きき湯', '安く']"
挨拶しない従業員がいた。,サービス・設備,接客態度,"['挨拶', '従業員']"
サラダの種類が減った 困る 店員さんはみんな親切です 。,商品,商品在庫,"['サラダ', '減った']"
日清焼きそばBIGUFOを販売して下さい。,商品,デイリー,"['日清焼きそば', 'BIGUFO']"
週末でお客様がたくさんで混んでいましたが、レジ等はスムーズでした 。,サービス・設備,レジ処理の速度,"['週末', 'お客様', '混んでいました', 'スムーズ']"
サービスカウンターの人材の配置が最悪 サービスに人がいなかったので呼び出しボタンを押したがなかなか、来なかった そのあと、ギフトの包装を頼んだが、すぐに包装してもらえなかった しばらく待っていたが他のお客さんを接客していた 時間がかかる場合は、先に言って欲しい 王道キムチがなくなっていた 復活させて欲しい 。,サービス・設備,接客態度,"['サービスカウンター', '人材の配置', '呼び出しボタン', 'ギフトの包装', '待っていた', 'お客さん', '時間がかかる', '王道キムチ', '復活']"
商品が綺麗に並べられていた。,サービス・設備,商品陳列,['綺麗']
冷凍パスタの宣伝メールをいい加減にやめてほしい 目障り そんなことしなくても定期的に買っている 送る対象を間違えている 。,サービス・設備,商品知識,"['冷凍パスタ', '宣伝メール', 'やめてほしい', '目障り', '定期的に買っている', '送る対象を間違えている']"
レジの人数増やした方がいいです。,サービス・設備,レジ処理の速度,"['レジ', '人数', '増やす']"
言葉つうじない。,商品,商品知識,"['言葉', '理解']"
ドン・キホーテ宗像店は、出来たばかりでもあり、他の店舗よりも商品が見やすく分かりやすいです 宗像に出来てくれた事に、感謝しかありません これからも利用させて頂きます！。,サービス・設備,店内レイアウト,"['ドン・キホーテ', '宗像店', '商品', '見やすい', '分かりやすい', '利用']"
激辛冷麺、いつも品切れなので残念です 。,商品,デイリー,"['激辛冷麺', '品切れ', '残念']"
買い物後にカゴの返却するのに一度店内に戻る形になるのですが荷物入れてるお客さんが居ると狭くて返却がしずらいかと言って他に返却に使えそうなスペースも無さそうだから仕方ない気もする。,サービス・設備,店内レイアウト,"['カゴの返却', '荷物入れてるお客さん', '狭い', '返却スペース']"
手首を痛めているので、店員さんにカゴの移動をお願いしたら、笑顔で運んでくれ､とても感じ良かったです 。,サービス・設備,接客態度,"['手首', '痛めている', '店員さん', 'カゴの移動', '笑顔', '感じ良かった']"
買い物カゴを沢山持ってかれているのかもしれないけどカゴを持って行かないでくださいって札のカゴにされるのが不愉快エコバック持っているか聞けば良いじゃん。,サービス・設備,商品在庫,"['買い物カゴ', '持って行かないで', 'エコバック']"
スピードも良く、満足しています 。,サービス・設備,レジ処理の速度,"['スピード', '満足']"
狭くて歩きにくい。,サービス・設備,店内レイアウト,"['狭い', '歩きにくい']"
クーポンが良い 。,サービス・設備,割引サービス,['クーポン']
品数が少なくクーポンの商品がないことがある？。,商品,商品在庫,"['品数', '少ない', 'クーポン', '商品なし']"
レジが、よく混んでる。,サービス・設備,レジ処理の速度,['混んでる']
皆さん親切丁寧です。,サービス・設備,接客態度,"['親切', '丁寧']"
レジに長く並ばなくていいのがいいけど、木曜にLINEクーポンがある事を知らなかったので、LINEクーポンありますよ！とか声かけてもらえたら嬉しいのになと思いました 。,サービス・設備,割引サービス,"['レジ', '並ぶ', 'LINEクーポン', '声かけ']"
電子決済できるようにしてほしい。,サービス・設備,ホームエレクトロニクス,['電子決済']
無料の袋を入れときますと先に言ってくれた 。,サービス・設備,接客態度,"['袋', '無料']"
サービスカウンターの方の対応が早くて助かります 。,サービス・設備,接客態度,"['対応', '早い', '助かる']"
レジの人の対応が感じ良かったです！。,サービス・設備,接客態度,"['レジ', '対応', '感じ', '良かっ']"
ヤマザキのルバンロールを置いて欲しい。,商品,デイリー,"['ヤマザキ', 'ルバンロール']"
レジのSさんよかった 。,サービス・設備,接客態度,"['レジ', 'Sさん', 'よかった']"
結構並んでいたのにレジが2台しかあいてなく、お会計までに時間がかなりかかった 。,サービス・設備,レジ処理の速度,"['並ぶ', 'レジ', 'お会計', '時間']"
お寿司が安くて美味しかったです 値上がりするばかりなので色々安いと助かります 。,商品,デイリー,"['お寿司', '安い', '美味しい']"
クーポンの商品のある場所がわかりにくく　探せなかったり、似た商品があると　パッと見　どれか迷うので　分かりやすくなると　嬉しいです 。,サービス・設備,商品陳列,"['クーポン', '商品', '探す', '分かりやすい']"
ドンペンシールのクーポンを保有してレジで買い物をしたら、店員に在庫が切れましたと言われました クーポン保有した分は確保して欲しかったです とても残念でした 。,商品,欠品,"['ドンペンシール', 'クーポン', '在庫', '残念']"
表示価格が違うことがあるのが困ります 安い時もあるし高い事もあるし高い時は表示価格に下げてくれることがあります なんだか申し訳ないです 。,サービス・設備,商品価格,"['表示価格', '安い', '高い', '下げてくれる']"
商品がたくさんあって、探すのが大変‼️ただ、野菜の新鮮さがあまり無いのか、レタスは溶けかけてあったり、トマトを買いましたが、シワシワになっていたり、全部でないにしても、鮮度のよくない物は、安くして、回転を良くしないと、新しい物が陳列出来ずに、繰り返しになるのでは⁉️ドンキさんで、野菜の割引を見かけた事が無いので、悪くなったら、組替えて出してるの⁉️と、思ってしまいます。,商品,商品在庫,"['商品', '探す', '野菜', '新鮮さ', 'レタス', '溶けかけて', 'トマト', 'シワシワ', '鮮度', '安く', '回転', '陳列', '割引', '組替え']"
賞味期限ギリギリでもいいので安くして欲しい。,商品,商品在庫,"['賞味期限', '安く']"
野菜を安くしてほしいです 。,商品,ベジタブル・フルーツ,['安く']
レジの方は素早い動きで気持ち良い。,サービス・設備,レジ処理の速度,"['レジ', '素早い', '動き', '気持ち良い']"
店内にカートを置いてほしい。,サービス・設備,店内レイアウト,['カート']
飲み物売り場が狭い 。,サービス・設備,商品陳列,"['飲み物', '売り場', '狭い']"
店内外の通路が狭く、子供連れや杖をついた人は買い物籠を持って歩くのは危険だと思う 。,サービス・設備,店内レイアウト,"['通路', '狭い', '子供連れ', '杖']"
9／16夕方17時前後にお買い物をさせて頂きました 欲しい商品が安くて嬉しかったです ついでに色々と購入してレジに並んでいました 私の前に並んでた方がアンパンマンのDVDのような物を購入したところ店員さんがシールを貼る時に一言、アンパンマンのパッケージの邪魔をしない位置に貼っておきますねー！と言っていた事に驚きました 私の番になり生理用品や歯磨き粉を買ったら、無料の見えない袋があるのでそれにまとめて入れておきましょうか？と、笑顔で入れてもらいました 今まで何度も利用していますがその対応をした従業員は初めてでした 必ずそのサービスをして欲しいと言うわけではありませんが、そう言う何気ない配慮のできる従業員がいる事が嬉しく思いますし、安心して買い物ができるなぁ と率直に思いました その従業員の人にこれからもお仕事を続けてくださいね と伝えて欲しいです 。,サービス・設備,接客態度,"['お買い物', '安くて嬉しい', 'レジ', '店員さん', '配慮', '安心']"
浜の町店はクーポンの種類が少ないように思います。,サービス・設備,割引サービス,"['クーポン', '種類', '少ない']"
まだ商品の場所が慣れてなくて、何ヶ所か定員さんに尋ねました みなさん商品の場所まで丁寧に案内してくれました 自宅からは多少距離がありますが、定員さんの接客の良さ、商品の安さ、これからはこちらでお買い物します 。,サービス・設備,接客態度,"['商品の場所', '定員さん', '接客', '安さ', 'お買い物']"
既に販売してるのを見つけられなかったのかも知れませんが炭酸シャンプーを取り扱って欲しいです 。,商品,ヘルスケア,['炭酸シャンプー']
レジ袋が穴が空きやすく再利用できなくてエコじゃない。,サービス・設備,商品知識,"['レジ袋', '穴', '再利用', 'エコ']"
3ヵ所しかレジが開いてなくて何処も5人位並んでいた 少ししてから他のレジが開いたが もう少し速い対応をしてほしい 。,サービス・設備,レジ処理の速度,"['レジ', '開いてない', '並んでいた', '速い対応']"
レジの店員さんがとっても優しかったので気持ちよく買い物が出来ました ありがとうございました 。,サービス・設備,接客態度,"['レジ', '店員さん', '優しい', '買い物']"
フルグラのクーポンが以前の50円引きになると嬉しいです！。,商品,割引サービス,"['フルグラ', 'クーポン', '50円引き']"
値札が見えない商品や付いていない商品が多数あるのが不便です。,商品,商品在庫,"['値札', '見えない', '付いていない', '不便']"
書いすぎて台車で運ぶとれじーの女性が出てきて荷物を精算機の横に乗せてくれてうれしです 。,サービス・設備,レジ処理の速度,"['書いすぎ', '台車', '運ぶ', 'れじー', '女性', '荷物', '精算機', '乗せる', 'うれしい']"
駐輪場を作ってほしい。,サービス・設備,サイクル,['駐輪場']
いつも言ってるけどスタッフ対応態度悪い！。,サービス・設備,接客態度,"['スタッフ', '対応', '態度', '悪い']"
当たらなーい 。,商品,商品知識,['当たらない']
品だしの従業員さんまで、あいさつ徹底されていました 。,サービス・設備,接客態度,"['品出し', '従業員', 'あいさつ']"
駐車場にゴミやペットボトルが落ちてて、停めにくかった 。,サービス・設備,駐車場,"['ゴミ', 'ペットボトル', '停めにくい']"
見ている前にダンポールがつんであったのですが、よけてくれたので、見やすかったです 。,サービス・設備,店内レイアウト,"['ダンポール', 'つんであった', 'よけてくれた', '見やすかった']"
以前お店にあった日本製のマスクを扱ってほしい 1000円以下の商品です 。,商品,ヘルスケア,"['マスク', '日本製', '1000円以下']"
女性の店員さんは皆、対応良いです。,サービス・設備,接客態度,"['女性', '店員', '対応', '良い']"
商品を整列している従業員が通路をふさいでいて通行するのにとても邪魔です 。,サービス・設備,店内レイアウト,"['通路', '邪魔']"
買い物をしてドンペンシールを他のクーポンと同じく押してレジに行って精算したのに渡してくれなかったので言ったら、シールは、レジで言ってから押さないとダメだと言われ気が悪い それなら、クーポンと同じ所に入れないで欲しい 話し方が偉そうだったので嫌な気分 普通に言えば良いのに、、、残念。,サービス・設備,接客態度,"['ドンペンシール', 'クーポン', 'レジ', '精算', '言われ気が悪い', '話し方', '偉そう', '嫌な気分', '普通に言えば良い']"
レジの人親切で対応が良かったです。,サービス・設備,接客態度,"['レジ', '人', '親切', '対応', '良かった']"
店員さんの姿を見かけることが少なかった。,サービス・設備,接客態度,"['店員', '姿', '少ない']"
箱入りのアイスがどれもイオンやハローズより高い。,商品,デイリー,"['アイス', 'イオン', 'ハローズ', '高い']"
サプリメント を、安くして欲しい。,商品,ヘルスケア,"['サプリメント', '安く']"
対応良かった。,サービス・設備,接客態度,"['対応', '良かった']"
スニーカーの売り場が2箇所もあってうろうろしてしまいました 年配者には難しい 。,商品,シューズ,"['スニーカー', '売り場', '年配者']"
対応良きでした！。,サービス・設備,接客態度,"['対応', '良い']"
牛乳を安くしてほしいです 。,商品,デイリー,"['牛乳', '安く']"
クーポンを2個、並びで押したはずが、最初に押したクーポンが反映されず、押す前の状態に戻っていた 店員さんは値引き処理しますと言ってくれましたが、面倒なので20円引きはあきらめました 次回から、クーポン押さなくてもバーコードで自動的に値引きするようにしてください それと、店内の電波状況が悪いのが反映され無かった原因だと思います 電波状況の改善も合わせてお願い致します 。,サービス・設備,接客態度,"['クーポン', '値引き', 'バーコード', '電波状況']"
接客は良いです 。,サービス・設備,接客態度,[]
かなりレジが混雑しているのに、レジが2台しか稼働してなくて、待ち時間が長かった また、タバコの配置と番号がわかりにくい IQOSのセンティアクリアシルバーが、他のセンティアの上に置かれていて、番号をと言われても、どの番号を言っていいのかわからない 。,サービス・設備,レジ処理の速度,"['レジ', '混雑', '待ち時間', 'タバコ', '配置', '番号', 'IQOS', 'センティアクリアシルバー']"
従業員の女性(レジ)の対応が良かった。,サービス・設備,接客態度,"['従業員', '女性', 'レジ', '対応', '良かった']"
雑になりますが、買い物かごに入れる事は可能です と、店員さんが手際よく入れて下さいました 。,サービス・設備,接客態度,"['買い物かご', '入れる', '可能', '手際よく']"
クーポン獲得しても商品がない！残念。,商品,欠品,"['クーポン', '獲得', '商品', 'ない']"
品出しが追いついていなかったです。,サービス・設備,商品陳列,"['品出し', '追いついていない']"
マスク越しで聴こえづらいかもしれないけれど、「えっ？」の聞き返しは、販売員としてはどうかと思いました 9月15日15時頃で新人マークを着けていました 。,サービス・設備,接客態度,"['マスク', '聴こえづらい', 'えっ？', '聞き返し', '販売員', '新人マーク']"
レジの担当者が親切、丁寧な対応で良かった‼️。,サービス・設備,接客態度,"['親切', '丁寧']"
全対的に安いから良い!。,商品,商品価格,"['安い', '良い']"
めぐミルクのアカディを入れて欲しいです。,商品,デイリー,"['めぐミルク', 'アカディ']"
レジの最近よく見るおばさん、声が聞こえなさすぎる はきがないというか… 隣のレジの人は、ちょい若くて、レジも早くハキハキしてた 並ぶとこ間違えた 。,サービス・設備,接客態度,"['レジ', 'おばさん', '声', '聞こえない', '隣のレジ', '若い', '早い', 'ハキハキ']"
肉や魚を買ったとき、レジを通したあとビニールに入れてくれる店員さんはいなかった 最近は入れてくれる店員さんがいるので、私的には助かります 。,商品,商品在庫,"['肉', '魚', 'レジ', 'ビニール', '店員さん']"
レジの方の印象がとても良かったです 明るい方で少し待ちましたが、気持ちよくお会計も出来て満足です また来ます！。,サービス・設備,接客態度,"['レジ', '印象', '明るい', '待ち', 'お会計', '満足']"
パルムのアイスを買って、すぐに車に戻って食べようとしたら棒が抜けてドロドロだった せっかく楽しみにしていたのに残念 温度管理はどうなっているのか 。,商品,デイリー,"['パルム', 'アイス', '棒', '抜ける', 'ドロドロ', '温度管理']"
セルフレジはなかなかなれないです 。,サービス・設備,レジ処理の速度,"['セルフレジ', 'なれない']"
何度も表示価格とレジ価格が違うと言わせてもらってます 今日も違いました 情熱価格プリマハム皮なしウインナーが198円と表示されていたので購入させていただきました 今日はその場で気付けず、夜にレシート見たら定価の239円 また違ってたんだ…とショックでした 前に知らない男性がお前のとこは詐欺ばかりやないか！店長呼べと怒鳴っているのを目撃しました こんなに何度も表示価格とレジ価格が違われると本当に詐欺なんじゃないかと思ってしまいます ちゃんとレジの価格を変更してほしいです 宜しくお願い致します 店員さんの対応はいつもよいです 。,サービス・設備,商品在庫,"['表示価格', 'レジ価格', '詐欺', '店員対応']"
早朝で空いてたので良かったです 。,サービス・設備,店内の清潔度,"['早朝', '空いてた', '良かった']"
携帯アプリをすぐ反応できない新人レジも居る 画面が暗いと、文句を言われた 。,サービス・設備,レジ処理の速度,"['携帯アプリ', '反応', '新人', 'レジ', '画面', '暗い', '文句']"
オキシクリーン安くしてほしい。,商品,ホームグッズ,"['オキシクリーン', '安く']"
マジカ更新したら使いづらく、バーコード決済もシンプル過ぎて何ですかっとなった 更新しなければ良かったです。,サービス・設備,商品知識,"['マジカ', '更新', '使いづらい', 'バーコード決済']"
旅行先で、初めて入った店舗ですが、駐車場の入り方がわかりづらかった 。,サービス・設備,駐車場,"['駐車場', '入り方', 'わかりづらい']"
米を安くしてほしい。,商品,デイリー,"['米', '安く']"
名前を見なかったが！会計時の対応が感じよかった また探していた品物の場所を聞いたら、わざわざその場所まで案内してくれた スタッフの方の接遇が素晴らしいと思いました 。,サービス・設備,接客態度,"['会計時', '対応', '探していた品物', '場所', '聞いた', '案内', 'スタッフ', '接遇', '素晴らしい']"
商品の場所を聞いても言葉が分からない外国人が多い 。,サービス・設備,接客態度,"['外国人', '言葉', '分からない']"
9月15日午後3時頃、東海通店とにかくひどかった 。,サービス・設備,接客態度,"['東海通店', 'ひどい']"
丁寧な接客対応。,サービス・設備,接客態度,"['丁寧', '接客']"
学生アルバイトが黙々と仕事をしており頑張っているなと思います 。,サービス・設備,接客態度,"['学生アルバイト', '頑張っている']"
駐車場割引を他店プラスで受けられることを教えてくれた 感謝です。,サービス・設備,駐車場,"['割引', '他店プラス']"
需要と供給追いつかないのはわかるけど、できれば品切れをなくしてほしい せっかく買いに来たのにお目当ての物が品切れだと萎えます 。,商品,欠品,"['需要と供給', '品切れ', '買いに来た']"
カゴとカートの片付けしてくれるのは助かります。,サービス・設備,店内の清潔度,"['カゴ', 'カート', '片付け']"
アイス高い。,商品,デイリー,"['アイス', '高い']"
次回から従業員さんのお名前見るようにして、感じの良い方発表します 今日の方は、少々ぶっきらぼうでした 。,サービス・設備,接客態度,"['従業員', 'お名前', '感じの良い', 'ぶっきらぼう']"
クーポンが定員オーバーで使えなく、残念だった。,サービス・設備,割引サービス,"['クーポン', '定員オーバー', '使えない', '残念']"
電子マネーの取り扱いが増えるとうれしいです 。,サービス・設備,ホームエレクトロニクス,"['電子マネー', '取り扱い']"
テスターと場所と商品の場所がいつも違う！確認するのも大変なので改善して欲しい 。,サービス・設備,商品在庫,"['テスター', '場所', '商品の場所', '確認', '改善']"
すれ違う店員さんが無愛想でした 深夜で疲れが溜まっていたのでしょう、いつもお店を利用させて頂いているため、忙しくて疲れが抜けていないのだろうなと思い、大変申し訳ない気持ちになりました また利用させて頂きます 。,サービス・設備,接客態度,"['店員さん', '無愛想', '深夜', '疲れ', '利用']"
こちらの確認不足ですが…レジにて、電子マネーは使えません と言われたまではよかったが、会計後にも「IC交通系の電子マネーはご利用出来ません 」と必要以上に言われた感じがする どう思われたか分かりませんが、「申し訳ございません、その電子マネーはご利用出来ません 」だけでよくないですか 丁寧な口調な方でしたが、申し訳ございません などの言葉はなく、なんで知らないの？という感じが見て取れましたので…ちょっと残念です 。,サービス・設備,接客態度,"['確認不足', 'レジ', '電子マネー', 'IC交通系']"
2リットルのペットボトル入りの水や緑茶で1本の値段がかなり安い商品が業務スーパーさんやサンデイさんにはあるので、ドン・キホーテさんにもあるといいなと思います 。,商品,デイリー,"['2リットル', 'ペットボトル', '水', '緑茶', '安い']"
9月1日くらいですが、パルムマルチのクーポン券があったので使おうとしたら、商品が無かったので在庫は置いといてほしい それを目当てで買いに来てるのにないのは困ります 。,商品,商品在庫,"['パルムマルチ', 'クーポン券', '在庫']"
アイスの冷凍温度もう少し下げて欲しいです 買ってすぐ食べてるのにすでに溶けてて困ります 毎回です 。,商品,デイリー,"['アイス', '冷凍温度', '溶ける']"
サービスカウンターの対応が丁寧だった。,サービス・設備,接客態度,"['サービスカウンター', '対応', '丁寧']"
店内位置替えでわかりにくくなった。,サービス・設備,店内レイアウト,"['位置替え', 'わかりにくい']"
いつもチーパスの有無を聞いてくれてありがたい。,サービス・設備,接客態度,"['チーパス', '有無', '聞く']"
サムライウーマンのシリーズ増やして欲しいです 。,商品,ファッション＆カバン,"['サムライウーマン', 'シリーズ', '増やす']"
クーポン取得した商品の場所が分かり難い時があります 店員さんに聞きたくても店員さんが見つからず、クーポン利用を諦めてしまう事があります 。,サービス・設備,割引サービス,"['クーポン', '場所', '分かり難い', '店員さん', '聞きたい', '諦める']"
有料になってるので、買い物ビニル袋を少し厚いのにしてほしい 角のあるものなどでよく破けるので 。,サービス・設備,商品知識,"['有料', '買い物ビニル袋', '厚い', '角', '破ける']"
満足です 品揃えが豊富で不満はありません 。,商品,商品陳列,"['品揃え', '豊富', '満足']"
ドンキホーテの食品は大きい物が多い 。,商品,デイリー,"['ドンキホーテ', '食品', '大きい']"
会計の際、お釣りの五千円札を、千円札に両替してもらいました 。,サービス・設備,レジ処理の速度,"['会計', 'お釣り', '五千円札', '千円札', '両替']"
おいしい牛乳のクーポン復活してください！。,商品,割引サービス,"['牛乳', 'クーポン']"
朝早かったためレジに店員さんがいなかったのですが、しっかりみてくださってるから、大きな声ですぐ行きまーすと言ってもらいました 気持ち良い接客でありがたいし嬉しか。,サービス・設備,接客態度,"['朝早い', 'レジ', '店員さん', '大きな声', '気持ち良い', '接客', 'ありがたい', '嬉しい']"
一人者の為カット果物などの少量の商品を増やして欲しい できればブドウとか梨とか桃が食べたいのですが一人だとなかなか手を出せないです 。,商品,デリカ,"['カット果物', '少量', 'ブドウ', '梨', '桃']"
いつも丁寧に接客していただいている 。,サービス・設備,接客態度,"['丁寧', '接客']"
トイレが汚い店は全体が汚い トイレの換気扇見てみろ。,サービス・設備,店内の清潔度,"['トイレ', '汚い', '換気扇']"
トイレを綺麗にしてほしいです。,サービス・設備,トイレ設備,"['トイレ', '綺麗']"
レジ袋が、やぶれやすいです。,商品,商品在庫,"['レジ袋', 'やぶれやすい']"
通路が広くなり買いやすくなったレジの上に「開いてます」はわかりやすい。,サービス・設備,レジ処理の速度,"['通路', '広くなり', '買いやすくなった', 'レジ', '開いてます', 'わかりやすい']"
お肉が好きで良く購入しています 量も多いし、お値段もお得ですしとても助かりますたまに、お肉が臭い時があるので、バラツキを無くして欲しいです 。,商品,フレッシュミート,"['お肉', '購入', '量', 'お値段', '臭い', 'バラツキ']"
豆乳が入っているパック、テトラパックの回収をしてくれたら嬉しいです 資源なのに捨てられていて残念です 。,サービス・設備,商品知識,"['豆乳', 'パック', 'テトラパック', '回収', '資源']"
レジもスムーズでした。,サービス・設備,レジ処理の速度,[]
フィラのTシャツをそろそろ安くして欲しい 。,商品,ファッション＆カバン,"['フィラ', 'Tシャツ', '安く']"
レジを多く開けてほしい。,サービス・設備,レジ処理の速度,"['レジ', '開ける']"
こたにやって人、レジ業務から外してほしい 。,サービス・設備,レジ処理の速度,"['こたにやって人', 'レジ業務', '外してほしい']"
いつも気持ちの良いレジ対応に感謝しています。,サービス・設備,レジ処理の速度,"['気持ちの良い', '感謝']"
自転車なので空気入れを用意してほしい 。,サービス・設備,サイクル,['空気入れ']
キレートレモンを安くしてほしい 。,商品,デイリー,"['キレートレモン', '安く']"
カートは、いつも整理されてます レジの方も、顔確認しています。,サービス・設備,レジ処理の速度,"['カート', '整理', 'レジ', '顔確認']"
食品売場の生鮮品がもっとバリエーションがあればと思います 一人飯だと　例えば精肉は小パックでも多いくらい また、鮮魚は冷凍のみならば銀ダラやカラスカレイぜひ入れてほしい 。,商品,デイリー,"['食品売場', '生鮮品', 'バリエーション', '精肉', '小パック', '鮮魚', '冷凍', '銀ダラ', 'カラスカレイ']"
先週買った大袋の梨、傷んだものが入っていました 商品管理を徹底してください 。,商品,商品在庫,"['梨', '傷んだ', '商品管理']"
カラーコンタクトが2箱で980円などよくカラコンを買うのでとても良かったです！！従業員さんの対応が少し冷たい気がしました。,商品,ヘルスケア,"['カラーコンタクト', '買う']"
食品のレジの『K』さん（名札に書いてありました）私の顔をちゃんと見て『いつもご利用ありがとうございます』と丁寧に笑顔で挨拶してくれました とても感じの良くテキパキして商品も丁寧に扱ってくれました まだ若いのに素晴らしい対応でした 買い物して気持ちよく帰れるのって最高に気持ち良いです 又買い物に来ます 。,サービス・設備,接客態度,"['レジ', 'Kさん', '挨拶', '笑顔', '対応']"
週2~3でお弁当を作るのでおかずの冷凍食品を増やして欲しい 。,商品,デイリー,"['お弁当', 'おかず', '冷凍食品']"
